Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
22,I am a developer by profession,Yes,NA,18,Monthly,NA,NA,India,Indian rupee,INR,NA,NA,"Developer, full-stack;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA,Man,NA,Slightly dissatisfied,I am actively looking for a job,Java;JavaScript;Python,Java;Python,NA,NA,NA,NA,Not sure,NA,Very important,Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Yes,No,Often: 1-2 days per week or more,NA,NA,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),NA,Windows,500 to 999 employees,NA,NA,NA,NA,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,NA,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,50,10,2
23,I am a developer by profession,Yes,27,14,NA,NA,NA,Germany,European Euro,EUR,NA,NA,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, QA or test;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,C#;C++,Bash/Shell/PowerShell;C#;C++,.NET Core,.NET,Confluence;Jira;Github,Confluence;Jira;Github,No,Neutral,Fairly important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Arduino;Linux;Raspberry Pi,Arduino;Raspberry Pi;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",NA,NA,Somewhat less welcome now than last year,40,8,3
24,I am a developer by profession,Yes,45,14,Yearly,85000,91883,Germany,European Euro,EUR,Cassandra;PostgreSQL,PostgreSQL;SQLite,"Developer, back-end","Professional degree (JD, MD, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;Java;Julia;Kotlin;Python;SQL,Bash/Shell/PowerShell;Java;Kotlin;PHP;SQL,NA,NA,Confluence;Jira;Github;Gitlab;Microsoft Teams,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,Not sure,Somewhat important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Wanting to work with new technologies,NA,Every few months,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,AWS;Docker;Kubernetes;Linux;MacOS,Docker;Kubernetes;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",NA,NA,Just as welcome now as I felt last year,42,30,20
25,I am a developer by profession,No,NA,25,Monthly,NA,NA,Portugal,European Euro,EUR,MariaDB;Oracle,Oracle,"Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, data;System administrator","Associate degree (A.A., A.S., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C,Bash/Shell/PowerShell;C,NA,NA,Jira;Github;Gitlab;Slack;Stack Overflow for Teams,Jira;Github;Gitlab,No,Extremely important,Critically important,Curious about other opportunities;Growth or leadership opportunities,NA,Once every few years,Yes,Yes,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,100 to 499 employees,Docker;Linux,Docker;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,23,18
26,I am a developer by profession,No,NA,12,Yearly,94000,71093,Canada,Canadian dollar,CAD,NA,PostgreSQL,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;Rust,JavaScript;Python,NA,NA,NA,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,Not sure,Yes,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,NA,Linux;MacOS;Slack Apps and Integrations,I have little or no influence,NA,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",NA,Django;React.js,Just as welcome now as I felt last year,40,17,10
27,"I used to be a developer by profession, but no longer am",Yes,NA,12,NA,NA,NA,United States,NA,NA,PostgreSQL;SQLite,Elasticsearch;MySQL;PostgreSQL;SQLite,"Database administrator;Developer, full-stack;Engineering manager;Product manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,NA,NA,NA,Bash/Shell/PowerShell;C;C++;Perl;Python;SQL,Bash/Shell/PowerShell;C;C++;Java;Python;SQL,TensorFlow,NA,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",NA,NA,Somewhat important,NA,NA,Once every few years,No,NA,Yes,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,Linux-based,NA,AWS;Docker;Linux,AWS;Linux,NA,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Flask,Flask,Just as welcome now as I felt last year,NA,20,20
28,I am a student who is learning to code,Yes,NA,22,NA,NA,NA,China,NA,NA,NA,NA,NA,Some college/university study without earning a degree,Student,Black or of African descent,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",NA,"I’m not actively looking, but I am open to new opportunities",NA,Python;R,NA,Pandas,NA,Github;Gitlab,NA,NA,NA,NA,NA,Every few months,No,NA,No,NA,Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Windows,NA,NA,Linux;Windows,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Daily or almost daily,Neither easy nor difficult,Too long,No,"A health science (such as nursing, pharmacy, radiology, etc.)",NA,NA,Just as welcome now as I felt last year,NA,2,NA
29,I am a student who is learning to code,Yes,18,15,NA,NA,NA,Ukraine,NA,NA,MySQL;Oracle;PostgreSQL;SQLite,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,NA,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;C++;HTML/CSS;Python,.NET;.NET Core;Node.js;Pandas;Unity 3D;Unreal Engine;Xamarin,.NET,Github;Gitlab;Trello,Github;Trello,NA,NA,NA,NA,NA,Every few months,NA,NA,No,NA,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,NA,Android;Windows,Windows,NA,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,No,NA,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;Spring;Vue.js,NA,Not applicable - I did not use Stack Overflow last year,NA,Less than 1 year,NA
30,I am a developer by profession,Yes,NA,14,Yearly,30000,38778,United Kingdom,Pound sterling,GBP,Firebase;MongoDB,Microsoft SQL Server;Redis;SQLite,"Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Node.js,Node.js,Jira;Github;Slack,Confluence;Jira;Github,No,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",NA,No,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,NA,Docker;Heroku,MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Neither easy nor difficult,Too long,No,"Information systems, information technology, or system administration",Express;React.js;Vue.js,Express;Vue.js,A lot less welcome now than last year,37,4,2
31,I am a developer by profession,Yes,NA,20,Weekly,NA,NA,Russian Federation,Australian dollar,AUD,NA,NA,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,NA,Slightly satisfied,I am not interested in new job opportunities,NA,C;C++,NA,TensorFlow;Torch/PyTorch;Unity 3D,NA,Github;Gitlab,Yes,Extremely important,NA,Having a bad day (or week or month) at work,NA,Once every few years,NA,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with,NA,Stack Overflow (public Q&A for anyone who codes),NA,Linux-based,20 to 99 employees,NA,Linux,NA,NA,Yes,NA,A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",NA,NA,NA,NA,6,3
32,I am a developer by profession,Yes,31,12,Monthly,3500,31764,Canada,Canadian dollar,CAD,MySQL;SQLite,MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;Python,C;C++;Java;Python;SQL;VBA,NA,NA,Jira;Github;Stack Overflow for Teams,Jira;Github,Not sure,NA,Somewhat important,Better compensation;Growth or leadership opportunities,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Yes,No,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,10 to 19 employees,Docker;Linux;Windows,Linux;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,37,19,10
33,I am a developer by profession,Yes,39,14,Monthly,4900,63564,Belgium,European Euro,EUR,MongoDB,MongoDB;MySQL;PostgreSQL;SQLite,"Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Node.js;React Native;Unity 3D,Node.js;React Native,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Neutral,Somewhat important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,500 to 999 employees,Docker;Google Cloud Platform;iOS;Kubernetes;MacOS,AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;MacOS;Raspberry Pi,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Gatsby;React.js;Ruby on Rails,Angular;Angular.js;Django;Express;React.js,Just as welcome now as I felt last year,40,20,14
34,I am a developer by profession,Yes,29,15,NA,NA,NA,Germany,NA,NA,Elasticsearch;MongoDB;Redis,MongoDB;PostgreSQL,"Developer, back-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Not employed, but looking for work",White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",NA,I am actively looking for a job,Go;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,Flutter;Node.js;React Native,Node.js,Github;Gitlab,Confluence;Github;Gitlab,NA,NA,Very important,Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,NA,Yes,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,NA,AWS;Raspberry Pi,Heroku;Raspberry Pi,NA,Gay or Lesbian,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Express;React.js;Spring,Angular;Express,Somewhat more welcome now than last year,NA,10,NA
35,I am a student who is learning to code,Yes,16,13,NA,NA,NA,United States,NA,NA,MongoDB;MySQL,MongoDB;MySQL,"Designer;Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",White or of European descent,Woman,Flex time or a flexible schedule;Remote work options;Office environment or company culture,NA,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;Java;JavaScript;Ruby,Node.js,Node.js;React Native,Github,Github;Trello,NA,NA,NA,NA,NA,Once a year,NA,NA,Yes,NA,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,NA,NA,AWS;iOS;Linux;WordPress,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Too long,No,"Information systems, information technology, or system administration",Angular;Angular.js;Express;jQuery;React.js;Vue.js,Express;jQuery,Just as welcome now as I felt last year,NA,3,NA
36,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,34,30,Yearly,60000,77556,United Kingdom,Pound sterling,GBP,Microsoft SQL Server;MongoDB;SQLite,IBM DB2;Microsoft SQL Server;MongoDB;SQLite,Data or business analyst;Data scientist or machine learning specialist,Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;HTML/CSS;JavaScript;Python;SQL,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL,Keras;Node.js;Pandas;TensorFlow,Node.js;Pandas,Confluence;Jira;Github;Slack;Trello,Confluence;Jira;Github;Slack;Trello,Not sure,Neutral,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities,NA,Every few months,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Linux;MacOS;Windows,MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;React.js,Express;React.js,Just as welcome now as I felt last year,40,4,3
37,I am a developer by profession,Yes,19,16,Monthly,NA,NA,France,European Euro,EUR,Elasticsearch,MariaDB;MongoDB;MySQL;PostgreSQL,"Developer, front-end","Associate degree (A.A., A.S., etc.)",Employed full-time,Middle Eastern,Man,"Languages, frameworks, and other technologies I’d be working with",Very satisfied,I am not interested in new job opportunities,Dart;Python,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;SQL;TypeScript,TensorFlow,Node.js;React Native,NA,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Better compensation,Directly asking current or past employees at the company,Once a year,No,Yes,No,Often: 1-2 days per week or more,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Windows,20 to 99 employees,Docker;Google Cloud Platform;Raspberry Pi,Arduino;Heroku;iOS;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations;Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,Web development or web design,Gatsby,Express;jQuery;React.js;Vue.js,Somewhat more welcome now than last year,39,2,1
38,I am a developer by profession,No,35,14,Yearly,90000,97288,Italy,European Euro,EUR,MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,"Developer, full-stack;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,JavaScript;Rust;TypeScript,HTML/CSS;JavaScript;Python;Ruby;Rust,Node.js;Teraform,Node.js;Teraform,"Github;Slack;Google Suite (Docs, Meet, etc)","Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Curious about other opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Do other work and come back later,MacOS,500 to 999 employees,AWS;Docker;Kubernetes;MacOS;Slack Apps and Integrations,AWS;Docker;Kubernetes;MacOS;Slack Apps and Integrations,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Gatsby;React.js,Express;Gatsby;React.js,Just as welcome now as I felt last year,40,20,12
39,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,NA,17,NA,NA,NA,United Kingdom,Pound sterling,GBP,NA,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,NA,Industry that I’d be working in;Office environment or company culture,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#,C#;Python,Unity 3D,Unity 3D,NA,Github,NA,NA,Not at all important/not necessary,Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,NA,No,Never,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Windows,Windows,NA,NA,Yes,"No, not really",A few times per month or weekly,A few times per month or weekly,Easy,Appropriate in length,NA,NA,NA,NA,Just as welcome now as I felt last year,NA,13,1
40,I am a student who is learning to code,Yes,20,14,NA,NA,NA,United States,NA,NA,MySQL,MySQL;SQLite,NA,"Associate degree (A.A., A.S., etc.)",Student,Hispanic or Latino/a/x,Woman,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,NA,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;Python,C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL,Unity 3D;Unreal Engine,.NET;Unity 3D;Unreal Engine,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Not sure,NA,No,NA,NA,NA,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),NA,Windows,NA,Android;iOS;Linux;Windows,Android;iOS;Linux;Windows,NA,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Easy,Appropriate in length,No,NA,NA,NA,Just as welcome now as I felt last year,NA,6,NA
41,I am a developer by profession,No,NA,15,Yearly,106000,106000,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA,NA,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C;C#;Java;SQL,C;C#;Java;SQL,.NET;.NET Core;Node.js,.NET;Hadoop,Microsoft Teams,Slack;Microsoft Teams;Trello,No,Neutral,Very important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a year,No,No,No,Never,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Windows,500 to 999 employees,Windows,Windows,I have some influence,NA,Yes,Neutral,Daily or almost daily,Daily or almost daily,NA,NA,NA,"Computer science, computer engineering, or software engineering",Vue.js,ASP.NET;Vue.js,A lot less welcome now than last year,40,25,20
42,I am a developer by profession,No,32,14,Yearly,130000,130000,United States,United States dollar,USD,Cassandra;DynamoDB;MongoDB,Microsoft SQL Server;MySQL;Oracle;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;Go;Java;Python;Rust,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python,.NET Core;Teraform,.NET;.NET Core;Node.js;Teraform,Confluence;Jira;Gitlab,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once every few years,Yes,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Android;AWS;Docker;Kubernetes;Raspberry Pi,AWS;Docker;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Spring,ASP.NET;Flask;React.js;Spring,Somewhat less welcome now than last year,37,16,10
